194	┬	BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
195	├	BOX DRAWINGS LIGHT VERTICAL AND RIGHT
196	─	BOX DRAWINGS LIGHT HORIZONTAL
197	┼	BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
198	╞	BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
199	╟	BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
200	╚	BOX DRAWINGS DOUBLE UP AND RIGHT
201	╔	BOX DRAWINGS DOUBLE DOWN AND RIGHT
202	╩	BOX DRAWINGS DOUBLE UP AND HORIZONTAL
203	╦	BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
204	╠	BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
205	═	BOX DRAWINGS DOUBLE HORIZONTAL
206	╬	BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
207	╧	BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
208	╨	BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
209	╤	BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
210	╥	BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
211	╙	BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
212	╘	BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
213	╒	BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
214	╓	BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
215	╫	BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
216	╪	BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
217	┘	BOX DRAWINGS LIGHT UP AND LEFT
218	┌	BOX DRAWINGS LIGHT DOWN AND RIGHT
219	█	FULL BLOCK
220	▄	LOWER HALF BLOCK
221	▌	LEFT HALF BLOCK
222	▐	RIGHT HALF BLOCK
223	▀	UPPER HALF BLOCK
224	α	GREEK SMALL LETTER ALPHA
225	ß	LATIN SMALL LETTER SHARP S
226	Γ	GREEK CAPITAL LETTER GAMMA
227	π	GREEK SMALL LETTER PI
228	Σ	GREEK CAPITAL LETTER SIGMA
229	σ	GREEK SMALL LETTER SIGMA
230	µ	MICRO SIGN
231	τ	GREEK SMALL LETTER TAU
232	Φ	GREEK CAPITAL LETTER PHI
233	Θ	GREEK CAPITAL LETTER THETA
234	Ω	GREEK CAPITAL LETTER OMEGA
235	δ	GREEK SMALL LETTER DELTA
236	∞	INFINITY
237	φ	GREEK SMALL LETTER PHI
238	ε	GREEK SMALL LETTER EPSILON
239	∩	INTERSECTION
240	≡	IDENTICAL TO
241	±	PLUS-MINUS SIGN
242	≥	GREATER-THAN OR EQUAL TO
243	≤	LESS-THAN OR EQUAL TO
244	⌠	TOP HALF INTEGRAL
245	⌡	BOTTOM HALF INTEGRAL
246	÷	DIVISION SIGN
247	≈	ALMOST EQUAL TO
248	°	DEGREE SIGN
249	∙	BULLET OPERATOR
250	·	MIDDLE DOT
251	√	SQUARE ROOT
252	ⁿ	SUPERSCRIPT LATIN SMALL LETTER N
253	²	SUPERSCRIPT TWO
254	■	BLACK SQUARE
